REPOSITORY                                                                       TAG                                                     IMAGE ID            CREATED             SIZE
python                                                                           <none>                                                  78ec31774736        5 months ago        165MB
rootproject/root                                                                 6.22.00-centos7                                         37febb97f7b9        5 months ago        2.6GB
atlasamglab/stats-base                                                           latest                                                  489725719379        5 months ago        1.04GB
matthewfeickert/momemta-python                                                   debug-local                                             f0d39b28bef8        5 months ago        1.78GB
atlasamglab/root-base                                                            debug-local                                             9f894966fb16        5 months ago        1.25GB
carpentries/lesson-docker                                                        latest                                                  19e7192506aa        5 months ago        3.84GB
gitlab-registry.cern.ch/atlas-amglab/atlstats/stats                              debug-latest                                            c050b40016ac        5 months ago        1.16GB
matplotlib/mpl-docker                                                            debug-latest                                            bc489d0585b2        5 months ago        2.08GB
atlasamglab/stats-base                                                           root6.22.00                                             2962c41b42f7        5 months ago        1.06GB
atlasamglab/stats-base                                                           root6.22.00-python3.8                                   2962c41b42f7        5 months ago        1.06GB
rootproject/root                                                                 6.22.00-ubuntu20.04                                     dd60b4dfd2c7        5 months ago        1.47GB
ubuntu                                                                           18.04                                                   d27b9ffc5667        5 months ago        64.2MB
atlasamglab/stats-base                                                           root6.20.06                                             b88874663a70        6 months ago        972MB
atlasamglab/stats-base                                                           root6.20.06-python3.8                                   b88874663a70        6 months ago        972MB
pyhf/binder                                                                      latest                                                  4b65e5c11347        6 months ago        7.17GB
matthewfeickert/skopeo-docker                                                    latest                                                  b581f071927a        6 months ago        874MB
matthewfeickert/skopeo-docker                                                    latest-stable                                           b581f071927a        6 months ago        874MB
matthewfeickert/skopeo-docker                                                    skopeo1.1.0                                             b581f071927a        6 months ago        874MB
matthewfeickert/skopeo-docker                                                    skopeo1.1.0-go-1.14.4                                   b581f071927a        6 months ago        874MB
gitlab-registry.cern.ch/atlas_higgs_combination/software/hcomb-docker/analyzer   ichep2020-2                                             8cded45367a9        6 months ago        1.14GB
golang                                                                           latest                                                  5fbd6463d24b        6 months ago        810MB
python                                                                           <none>                                                  7f5b6ccd03e9        6 months ago        934MB
atlas/analysisbase                                                               21.2.125                                                7ddd294d6fa9        6 months ago        2.71GB
test-this                                                                        latest                                                  ab82a790b60e        7 months ago        1.21GB
yadage/yadage                                                                    latest                                                  fcd67d8a64e4        7 months ago        726MB
atlasamglab/stats-base                                                           root-master                                             d0fb172bdb50        7 months ago        1.05GB
atlasamglab/stats-base                                                           root6.23.01                                             3dcdd6ec4ea3        7 months ago        1.05GB
rootproject/root-conda                                                           6.18.04                                                 7202f98a92d4        7 months ago        2.5GB
matthewfeickert/docker-python3-ubuntu                                            latest                                                  ac4f5f7fad5d        7 months ago        904MB
gitlab-registry.cern.ch/atlas-physics-office/gitlab-integration/potl-2016        latest                                                  07669bd22d4e        7 months ago        2.9GB
astefanutti/decktape                                                             3.0.0                                                   8e2ab40d4de1        7 months ago        459MB
dguest/pandamonium                                                               debug-latest                                            7c68c7755848        7 months ago        194MB
atlas/analysisbase                                                               21.2.121                                                043f993670a2        7 months ago        2.7GB
centos                                                                           7                                                       b5b4d78bc90c        8 months ago        203MB
cern/cc7-base                                                                    latest                                                  c1eb1d0763ae        8 months ago        244MB
python                                                                           <none>                                                  e7d894e42148        8 months ago        194MB
python                                                                           3                                                       4f7cd4269fa9        8 months ago        934MB
unibeautify/rscript                                                              latest                                                  c6b4b43e4e49        8 months ago        287MB
gitlab-registry.cern.ch/meehan/docker-lhcdmwg-april2020                          latest                                                  cd71cb6fc217        8 months ago        2.24GB
gitlab-registry.cern.ch/feickert/docker-lhcdmwg-april2020                        latest                                                  54290ae839a9        8 months ago        2.23GB
ubuntu                                                                           latest                                                  1d622ef86b13        8 months ago        73.9MB
ubuntu                                                                           bionic                                                  c3c304cb4f22        8 months ago        64.2MB
debian                                                                           stable-slim                                             eb0fd6cc5570        8 months ago        69.2MB
atlasamglab/stats                                                                latest                                                  7306b13f63ac        8 months ago        987MB
atlasamglab/stats                                                                root6.20.04                                             7306b13f63ac        8 months ago        987MB
python                                                                           2.7                                                     68e7be49c28c        8 months ago        902MB
matthewfeickert/pythia-python                                                    latest                                                  bb0e18583681        8 months ago        651MB
matthewfeickert/pythia-python                                                    pythia8.301                                             bb0e18583681        8 months ago        651MB
matthewfeickert/pythia-python                                                    debug-latest                                            65f036418320        8 months ago        651MB
matthewfeickert/pythia-python                                                    local-test-latest                                       2043f0096322        8 months ago        584MB
gitlab-registry.cern.ch/atlas-amglab/atlstats/tmp-only-patch                     debug-latest                                            0862d4caeca8        8 months ago        1.09GB
atlasamglab/root-base                                                            root6.20.04                                             cc8fc9d174ae        8 months ago        2.9GB
httpd                                                                            2.4                                                     8326be82abe6        9 months ago        166MB
matthewfeickert/madgraph5-amc-nlo                                                phys575                                                 d920aa78bb34        9 months ago        2.32GB
matthewfeickert/madgraph5-amc-nlo                                                debug-latest                                            5ab3e4a02422        9 months ago        2.29GB
pyhf/pyhf-validation-root-base                                                   latest                                                  138ac0024d9a        9 months ago        1.08GB
kratsg/pandamonium                                                               latest                                                  aafd6d6afaf1        9 months ago        343MB
matthewfeickert/madgraph5-amc-nlo                                                latest                                                  32aebf0920a8        9 months ago        915MB
matthewfeickert/madgraph5-amc-nlo                                                mg5_amc2.7.2                                            9cd5cd283d4b        9 months ago        826MB
matthewfeickert/fastjet                                                          fastjet3.3.3                                            d343bbff9d68        9 months ago        478MB
matthewfeickert/fastjet                                                          latest                                                  d343bbff9d68        9 months ago        478MB
matthewfeickert/fastjet                                                          test                                                    47202a0c4952        9 months ago        576MB
matthewfeickert/madgraph5-amc-nlo                                                mg5_amc2.7.2-python2.7                                  10fa6c94edf0        9 months ago        553MB
matthewfeickert/skopeo-docker                                                    skopeo0.1.42                                            9d27316fc656        9 months ago        1.13GB
matthewfeickert/skopeo-docker                                                    skopeo0.1.42-go1.14.1                                   9d27316fc656        9 months ago        1.13GB
lukasheinrich/folding                                                            latest                                                  bffc20770e4a        9 months ago        101MB
lukasheinrich/folding-at-home-docker                                             test-build                                              602ca41034fb        9 months ago        219MB
gitlab-registry.cern.ch/atlas-amglab/atlstats/intermediate                       debug-latest                                            83ab59915576        9 months ago        3.37GB
atlas/analysisbase                                                               21.2.114                                                1ad93a2c0abd        9 months ago        2.7GB
pyhf/pyhf-validation-root-base                                                   root6.20.00                                             05f442ada9a3        9 months ago        1.55GB
pyhf/pyhf-validation-root-base                                                   root6.20.00-python3.7                                   05f442ada9a3        9 months ago        1.55GB
pyhf/pyhf-validation                                                             latest                                                  9772b6d5eefc        9 months ago        1.64GB
pyhf/pyhf-validation-root-base                                                   test                                                    6b4f1e02924f        9 months ago        1.57GB
pyhf/pyhf-validation-root-base                                                   root-build-latest                                       9f77ef1eca06        9 months ago        1.56GB
python                                                                           <none>                                                  69afd9568c9d        9 months ago        179MB
rootproject/root                                                                 latest                                                  73b70b00bd06        9 months ago        1.82GB
pyhf/pyhf-validation-root-base                                                   src-build-latest                                        7c90a40c9ec4        10 months ago       842MB
pyhf/pyhf                                                                        v0.4.1                                                  76da9d112e7b        10 months ago       390MB
madminertool/docker-madminer                                                     latest                                                  518c5f6006da        10 months ago       3.57GB
python                                                                           2.7-slim                                                9458934200c5        10 months ago       148MB
